[cloudshell-user@ip-10-132-46-69 blue-green]$ kubectl get pods
NAME                                  READY   STATUS    RESTARTS   AGE
bloaty-mcbloatface-66dd4b7b5b-487jp   1/1     Running   0          19m
bloaty-mcbloatface-66dd4b7b5b-4mp2d   1/1     Running   0          19m
bloaty-mcbloatface-66dd4b7b5b-678g7   1/1     Running   0          19m
bloaty-mcbloatface-66dd4b7b5b-7vbh7   1/1     Running   0          19m
bloaty-mcbloatface-66dd4b7b5b-dtpg8   1/1     Running   0          19m
bloaty-mcbloatface-66dd4b7b5b-f2dt5   1/1     Running   0          19m
bloaty-mcbloatface-66dd4b7b5b-hh2rf   1/1     Running   0          19m
bloaty-mcbloatface-66dd4b7b5b-lhcvt   1/1     Running   0          19m
bloaty-mcbloatface-66dd4b7b5b-mxw6w   1/1     Running   0          19m
bloaty-mcbloatface-66dd4b7b5b-n99sf   1/1     Running   0          19m
bloaty-mcbloatface-66dd4b7b5b-qlvdk   1/1     Running   0          19m
bloaty-mcbloatface-66dd4b7b5b-qqtnh   1/1     Running   0          19m
bloaty-mcbloatface-66dd4b7b5b-rkgs9   1/1     Running   0          19m
bloaty-mcbloatface-66dd4b7b5b-s9swq   1/1     Running   0          19m
bloaty-mcbloatface-66dd4b7b5b-tdv85   1/1     Running   0          19m
bloaty-mcbloatface-66dd4b7b5b-xc5l6   1/1     Running   0          19m
bloaty-mcbloatface-66dd4b7b5b-zs942   1/1     Running   0          19m
